Code,Title,Modality,Type,Featured,Thumbnail
SAT-SDSD,Security Awareness Training & Seafarers w/ Designated Security Duties,1 Day Online & 1 Day On-Site,STCW,,
RFPNW,Ratings Forming Part of a Navigation Watch,2 Days Online & 4 Days On-Site,STCW,,
RFPEW,Ratings Forming Part of an Engineering Watch,4 Days Online & 2 Days On-Site,STCW,,
SSO,Ship Security Officer,3 Days On-Site,STCW,,
MECA,Medical Care,5 Days On-Site,STCW,,
MEFA,Medical First Aid,4 Days On-Site,STCW,,
STP,Safety Training for Personnel Providing Direct Service to Passengers in Passenger Space,1 Day On-Site,STCW,,
PSCMT,Passenger Ship Crowd Management,2 Days On-Site,STCW,,
PSCMHBT,Passenger Ship Crisis Management and Human Behavior Training,3 Days On-Site,STCW,,
CCM W STP,Crowd and Crisis with STP,6 Days On-Site,STCW,,
AIIRCA,Accident and Incident Investigation,1 Day On-Site,In-House,,presentation2.jpg
BWM,Ballast Water Management,1 Day On-Site,In-House,,
BRM,Bridge Resource Management,2 Days On-Site,In-House,,decksim.jpg
BRM-R,Bridge Resource Management - Refresher,1 Day On-Site,In-House,,decksim.jpg
ECDIS,Operational Use of Electronic Chart and Display Information System,3 Days On-Site,In-House,,
ECSS,English Communication Skills for Seafarers,5 Days On-Site,In-House,,presentation2.jpg
ERM,Engine Room Resource Management,2 Days On-Site,In-House,,engiesduo2.jpg
ERM-R,Engine Room Resource Management - Refresher,1 Day On-Site,In-House,,engiesbehind.jpg
ERS,Engine Room Simulator Course,3 Days On-Site,In-House,,chiefscreens.jpg
ERS-R,Engine Room Simulator - Refresher,1 Day On-Site,In-House,,chiefengies.jpg
ERS W ERM,Engine Room Simulator with Engine Resource Management,5 Days On-Site,In-House,,engieswindow.jpg
ERS W ERM-R,Engine Room Simulator with Engine Resource Management - Refresher,3 Days On-Site,In-House,,chiefclipboard.jpg
ECGS-BST,Exhaust Gas Cleaning System Basic Scrubber Training,2 Days Online,In-House,,
HAZMAT-CFR,Hazardous Materials - Code of Federal Regulations,1 Day Online,In-House,,
BCHOIMT,"Bulk Carrier Hatch Cover Operation, Inspection and Maintenance with Troubleshooting",1 Day Online,In-House,,compassthing.jpg
ISM,International Safety Management,1 Day Online,In-House,,
LNG,Liquified Natural Gas,4 Days Online,In-House,,
MARPOL,Consolidated Maritime Pollution (Annex 1 to 6),5 Days Online,In-House,,
MCSA,Seafarers Awareness for Cybersecurity and Basic Management,1 Day Online,In-House,,computersolo2.jpg
MARE,Maritime English,1 Day On-Site,In-House,,presentation2.jpg
MSOFFSA,MS Microsoft Office Shipboard Application,1 Day On-Site,In-House,,computerduo.jpg
PADAMS,Prevention of Alcohol and Drug Abuse in the Maritime Sector,2 Days Online,In-House,,vrengine.jpg
RADAR/ARPA/RNRPUA,Radar Navigation Radar Plotting and Operational Use of Radar/ARPA,5 Days On-Site,In-House,,
RMII,Risk Management and Incident Investigation,2 Days Online,In-House,,
SSBT,Ship Simulator and Bridge Teamwork,3 Days On-Site,In-House,,decksim2.jpg
SSBT W BRM ,Ship Simulator and Bridge Teamwork with Bridge Resource Management,5 Days On-Site,In-House,,decksim2.jpg
SSBT W BRM-R,Ship Simulator and Bridge Teamwork with Bridge Resource Management - Refresher,3 Days On-Site,In-House,,decksim2.jpg
SHM,Ship Handling and Maneuvering,2 Days On-Site,In-House,,decksim2.jpg
SHM W BRM ,Ship Handling and Maneuvering with Bridge Resource Management,4 Days On-Site,In-House,,decksim2.jpg
SIRE 2.0,Vetting Inspection SIRE 2.0,2 Days On-Site,In-House,,
SOTC,Ship Safety Officer Course,3 Days On-Site,In-House,,
HC,Helmsman Course,2 Days On-Site,In-House,,screenglobe.jpg
CSTSC,Trim and Stability for Container Ship,3 Days On-Site,In-House,TRUE,decksimcloseup2.jpg
BCCCO,Trim and Stability for Bulk Carrier,3 Days On-Site,In-House,TRUE,screendials.jpg
GCTSC,Trim and Stability for General Cargo,4 Days On-Site,In-House,TRUE,presentation.jpg
4EFAM,4th Engineer Familiarization,3 Days On-Site,In-House,TRUE,engineers.jpg
3EFAM,3rd Engineer Familiarization,3 Days On-Site,In-House,TRUE,chiefengie.jpg
2MFAM,2nd Mate Familiarization,3 Days On-Site,In-House,TRUE,decksimcloseup.jpg
3MFAM,3rd Mate Familiarization,3 Days On-Site,In-House,TRUE,decksim3.jpg
PP,Passage Plan,2 Days On-Site,In-House,TRUE,maptable.jpg
